"STATION","ID","ELEV(FEET)","LATITUDE","LONGITUDE","COUNTY","RIVER BASIN"
"CHARLOTTE LAKE","CRL","10400","36.777523","-118.426010","FRESNO","KINGS R"
"CHECK 13 (O'NEILL INTAKE)","ONI","176","37.090717","-121.037376","MERCED","SAN JOAQUIN R"
"CHECK 20","DM2","165","36.829918","-120.439095","FRESNO","SAN JOAQUIN R"
"CHECK 21","DM3","164","36.780899","-120.372475","FRESNO","SAN JOAQUIN R"
"CHEESEBORO","CHE","1650","34.184700","-118.717201","VENTURA","VENTURA LA COASTAL"
"CHEROKEE CANAL ABV NELSON RD","CNR","170","39.597538","-121.702362","BUTTE","COTTONWOOD CR"
"CHEROKEE CANAL NR RICHVALE","CHC","106","39.464703","-121.744736","BUTTE","COTTONWOOD CR"
"CHERRY CK BL DION R PH NR MATHER","CBD","2150","37.890202","-119.969902","TUOLUMNE","TUOLUMNE R"
"CHERRY CK BL VALLEY DAM NR HETCH HETCHY","CBV","4337","37.967701","-119.917404","TUOLUMNE","TUOLUMNE R"
"CHERRY CREEK NEAR EARLY INTAKE","CEI","2272","37.894367","-119.962685","TUOLUMNE","TUOLUMNE R"
"CHERRY LAKE NR HETCH HETCHY (USGS)","CYL","4715","37.976002","-119.913002","TUOLUMNE","TUOLUMNE R"
"CHERRY VALLEY MET STATION","CVM","4770","37.974659","-119.916000","TUOLUMNE","TUOLUMNE R"
"CHESTER","CHS","4525","40.283001","-121.233002","PLUMAS","FEATHER R"
"CHEWS RIDGE","CHW","5040","36.312000","-121.570000","MONTEREY","CARMEL R"
"CHICAGO","CHG","210","38.652000","-121.253998","SACRAMENTO","AMERICAN R"
"CHILAO","CIO","5450","34.333000","-118.032997","LOS ANGELES","SAN GABRIEL R"
"CHILKOOT LAKE","W21","7475","37.411518","-119.484642","MADERA","SAN JOAQUIN R"
"CHILKOOT MEADOW","CHM","7150","37.408390","-119.492188","MADERA","SAN JOAQUIN R"
"CHIQUITO CREEK CANAL","CHO","7470","37.408550","-119.479370","MADERA","SAN JOAQUIN R"
"CHOLAME CREEK NEAR ESTRELLA RIVER","CER","1044","35.670170","-120.358376","SAN LUIS OBISPO","SALINAS R"
"CHOWCHILLA BYPASS","CBP","170","36.773998","-120.285004","MADERA","SAN JOAQUIN R"
"CHOWCHILLA R BLW BUCHANAN DAM","BCQ","420","37.215599","-119.990303","MADERA","CHOWCHILLA R"
"CHUCHUPATE","CUU","5280","34.806389","-119.013336","VENTURA","SANTA CLARA R"
"CIRBY CREEK - TINA WAY","CRB","141","38.731998","-121.278000","PLACER","AMERICAN R"
"CIRCLE X RANCH","CXR","1700","34.109001","-118.935997","VENTURA","VENTURA R"
"CITY CREEK RANGER STATION","CKC","2610","34.186001","-117.181000","SAN BERNARDINO","SANTA ANA R"
"CLAREMONT","CMO","1645","34.137001","-117.707001","LOS ANGELES","LOS ANGELES R"
"CLARK TRAINING CENTER","CRK","1720","33.877201","-117.304199","RIVERSIDE","SAN JACINTO R"
"CLEAR CREEK","CLR","3300","40.639000","-122.667000","SHASTA","SACTO VLY NE"
"CLEAR CREEK NEAR IGO","IGO","673","40.513206","-122.524178","SHASTA","SACRAMENTO R"
"CLEAR CREEK RAWS","CEK","3000","34.271000","-118.153000","LOS ANGELES","LOS ANGELES R"
"CLEAR LAKE AT LAKEPORT","CKL","1318","39.039001","-122.912003","LAKE","CACHE CR"
"CLEAR LK - KLAMATH R","CLK","4552","41.926998","-121.074997","MODOC","KLAMATH R"
"CLEARLAKE CITY","CEY","1340","38.961700","-122.649200","LAKE","CACHE CR"
"CLIFTON COURT (KA000000) TEST SITE","KA0","3","37.829800","-121.557404","CONTRA COSTA","DELTA"
"CLIFTON COURT FOREBAY","CLC","3","37.829800","-121.557404","CONTRA COSTA","DELTA"
"COAST DAIRIES","XCD","723","37.030834","-122.187851","SANTA CRUZ","SANTA CRUZ CO COAST"
"COFFEE CREEK RANGER STATION","CFF","2503","41.089439","-122.708611","TRINITY","TRINITY R"
"COFFEE RIDGE","CFR","3040","41.083000","-122.717003","TRINITY","TRINITY R"
"COHASSET","CST","1600","39.875278","-121.770554","BUTTE","SACRAMENTO R"
"COLGATE PH","CGT","600","39.330799","-121.190002","YUBA","YUBA R"
"COLGATE POWER HOUSE","CPH","180","39.331001","-121.188004","YUBA","YUBA R"
"COLLINS BALDY","CLB","5493","41.775002","-122.950302","SISKIYOU","KLAMATH R"
"COLLINS LAKE","CLS","1270","39.337601","-121.327103","YUBA","YUBA R"
"COLLINSVILLE","CLL","0","38.073982","-121.850121","SOLANO","DELTA"
"COLLINSVILLE ON SACRAMENTO RIVER","CSE","0","38.074001","-121.850098","SOLANO","DELTA"
"COLUSA BASIN DRAIN AT KNIGHTS LANDING","KLG","0","38.799469","-121.725204","SUTTER","SACRAMENTO R"
"COLUSA BASIN DRAIN AT RIGGS RANCH PUMP S","RIG","39","38.983627","-121.946426","COLUSA","SACRAMENTO R"
"COLUSA DRAIN NR HWY 20","CDR","60","39.195511","-122.060516","COLUSA","SACRAMENTO R"
"COMBINED SSD & WCD FLOWS","TOT","4030","40.381401","-120.434196","LASSEN","SUSAN R"
"CONAWAY (GRND WTR)","CNW","30","38.646420","-121.667503","YOLO","SACRAMENTO R"
"CONCORD PAVILION","CCP","558","37.985001","-121.937698","CONTRA COSTA","SF BAY"
"CONTRA COSTA","CNT","10","37.994949","-121.702812","CONTRA COSTA","DELTA"
"CONVERSE","CON","5618","34.194000","-116.913002","SAN BERNARDINO","SANTA ANA R"
"COOSKIE MOUNTAIN","CSM","2950","40.257999","-124.250000","HUMBOLDT","MATTOLE R"
"CORDELIA PUMPING PLANT (KG002111)","CPP","2","38.227600","-122.134697","SOLANO","DELTA"
"CORNING AIRPORT","CRG","294","39.938999","-122.169998","TEHAMA","SACRAMENTO R"
"CORRALITOS","COR","450","36.992001","-121.796997","SANTA CRUZ","PAJARO R"
"CORRALITOS CREEK AT FREEDOM","CCF","100","36.939201","-121.769203","SANTA CRUZ","PAJARO R"
"CORRECTIONAL CTR","CRT","18","38.306999","-121.424004","SACRAMENTO","COSUMNES R"
"COSGROVE CK NR VALLEY SPRINGS","CGV","547","38.136101","-120.847198","CALAVERAS","CALAVERAS R"
"COSUMNES R AT MICHIGAN BAR","CSN","168","38.500000","-121.043999","SACRAMENTO","COSUMNES R"
"COSUMNES R MID FORK NR SOMERSET","CMF","1648","38.624508","-120.702454","EL DORADO","COSUMNES R"
"COSUMNES R N FORK NR EL DORADO","CNF","840","38.589031","-120.844490","EL DORADO","COSUMNES R"
"COSUMNES RIVER AT MICHIGAN BAR","MHB","168","38.500187","-121.045219","SACRAMENTO","COSUMNES R"
"COSUMNES RIVER NEAR MCCONNELL","MCC","5","38.357666","-121.343735","SACRAMENTO","COSUMNES R"
"COTTONWOOD CK BLW HWY 99","CWC","125","39.526943","-121.689163","BUTTE","SACRAMENTO R"
"COTTONWOOD CREEK AUXILIARY GAGE","CWA","364","40.387096","-122.238609","TEHAMA","COTTONWOOD CR"
"COTTONWOOD CREEK NEAR BEEGUM","CTN","3400","40.317001","-122.880997","TEHAMA","COTTONWOOD CR"
"COTTONWOOD LAKES","CWD","10150","36.483829","-118.177559","INYO","OWENS R"
"COTTONWOOD NODE 1","CT1","6200","39.107956","-120.383331","PLACER","AMERICAN R"
"COTTONWOOD NODE 10","CT0","6200","39.108734","-120.382584","PLACER","AMERICAN R"
"COTTONWOOD NODE 2","CT2","6200","39.108040","-120.383644","PLACER","AMERICAN R"
"COTTONWOOD NODE 3","CT3","6200","39.107307","-120.383087","PLACER","AMERICAN R"
"COTTONWOOD NODE 4","CT4","6200","39.107506","-120.382477","PLACER","AMERICAN R"
"COTTONWOOD NODE 5","CT5","6200","39.108322","-120.382072","PLACER","AMERICAN R"
"COTTONWOOD NODE 6","CT6","6200","39.107601","-120.381989","PLACER","AMERICAN R"
"COTTONWOOD NODE 7","CT7","6200","39.107899","-120.382446","PLACER","AMERICAN R"
"COTTONWOOD NODE 8","CT8","6200","39.108284","-120.381630","PLACER","AMERICAN R"
"COTTONWOOD NODE 9","CT9","6200","39.108471","-120.383293","PLACER","AMERICAN R"
"COUNTY LINE RAWS NR WILBUR SPRINGS","CYW","2085","39.018902","-122.411903","COLUSA","CACHE CR"
"COVELO","CLO","1487","39.826111","-123.084717","MENDOCINO","EEL R"
"COW CREEK (USBR)","CCE","2840","40.603001","-121.852997","SHASTA","SACTO VLY NE"
"COW CREEK NEAR MILLVILLE","COW","385","40.504875","-122.233055","SHASTA","SACRAMENTO R"
"COYOTE (LAKE MENDOCINO)","COY","720","39.196999","-123.185997","MENDOCINO","RUSSIAN R"
"COYOTE CK BLW COYOTE RES NR SAN MARTIN","CBC","680","37.123055","-121.551666","SANTA CLARA","COYOTE WASH"
"COYOTE CREEK AT EDENVALE","EDV","190","37.271000","-121.795998","SANTA CLARA","COYOTE WASH"
"COYOTE CREEK AT MADRONE","CYO","325","37.168335","-121.649399","SANTA CLARA","COYOTE WASH"
"CRABTREE MEADOW","CBT","10700","36.563683","-118.347946","TULARE","KERN R"
"CRABTREE WEATHER STATION","CWS","226","37.724998","-120.600601","STANISLAUS","TUOLUMNE R"
"CRANE FLAT LOOKOUT","CFL","6634","37.759468","-119.820564","MARIPOSA","MERCED R"
"CRANE VALLEY RESERVOIR (PG&E)","CRR","3400","37.291000","-119.526001","MADERA","SAN JOAQUIN R"
"CRANSTON","CNS","1950","33.740002","-116.841003","RIVERSIDE","SAN JACINTO R"
"CRAZY PEAK","CZP","3970","41.983002","-123.599998","DEL NORTE","SMITH R"
"CRESTA PARK","CRP","70","38.592999","-121.367996","SACRAMENTO","AMERICAN R"
"CRESTVIEW","CVW","7600","37.744999","-118.983002","MONO","OWENS R"
"CROSS CK AT HOUSTON","CRH","250","36.329506","-119.531387","KINGS","KINGS R"
"CROWDER FLAT","CWF","5100","41.893398","-120.751900","MODOC","KLAMATH R"
"CRYSTAL SPRINGS COTTAGE","CSC","343","37.495998","-122.329002","SAN MATEO","SAN MATEO CREEK"
"CUMMINGS PEAK","CMG","895","38.028000","-122.196999","CONTRA COSTA","EAST BAY"
"CYGNUS-CORDELIA SLOUGH","CYG","0","38.152699","-122.090797","SOLANO","DELTA"
"DANA MEADOWS","DAN","9800","37.896160","-119.257263","TUOLUMNE","TUOLUMNE R"
"DANVILLE LIBRARY","DVB","364","37.820801","-121.995598","CONTRA COSTA","SF BAY"
"DAVENPORT","DAP","200","37.019699","-122.191704","SANTA CRUZ","SANTA CRUZ CO COAST"
"DAVIS RANCH","DVR","550","40.349998","-122.449997","TEHAMA","COTTONWOOD CR"
"DAY CANYON","DYC","2240","34.167999","-117.537003","SAN BERNARDINO","LYTLE CR"
"DCID DEER CK DIVERSION NR VINA","DID","470","40.009499","-121.957191","TEHAMA","SACRAMENTO R"
"DE SABLA (DWR)","DES","2710","39.872002","-121.610001","BUTTE","BUTTE CR"
"DEADMAN CREEK","DDM","9250","38.331596","-119.654114","TUOLUMNE","STANISLAUS R"
"DEADWOOD REPEATER","DW1","4540","37.313599","-119.684998","MADERA","FRESNO R"
"DEER CK AT TRENTON WEIR","DTW","395","35.946098","-119.180801","TULARE","TULARE LAKE"
"DEER CK FOREBAY (PG&E)","DRC","4455","39.299999","-120.824997","NEVADA","YUBA R"
"DEER CREEK BELOW STANFORD VINA DAM","DVD","335","39.963615","-122.034363","TEHAMA","SACRAMENTO R"
"DEER CREEK DAM","DEC","2320","34.168999","-117.501999","SAN BERNARDINO","LYTLE CR"
"DEER CREEK NR SMARTVILLE","DCS","630","39.224339","-121.268570","NEVADA","YUBA R"
"DEER CREEK NR VINA","DCV","479","40.014046","-121.948318","TEHAMA","SACRAMENTO R"
"DEERWOOD","DRW","919","39.197720","-123.159920","MENDOCINO","RUSSIAN R"
"DEL PUERTO CK - USGS","DPC","43","37.486698","-121.208099","STANISLAUS","SAN JOAQUIN R"
"DEL VALLE","DLV","703","37.613998","-121.745003","ALAMEDA","ALAMEDA CR"
"DEL VALLE","DVL","1278","34.431000","-118.666000","LOS ANGELES","SANTA CLARA R"
"DEL VALLE CHECK 7 (KB001638)","DV7","500","37.654701","-121.741898","ALAMEDA","EAST BAY"
"DEL VALLE CONSERVATION OUTLET WORKS","DCO","542","37.617802","-121.746803","ALAMEDA","EAST BAY"
"DELTA CROSS CHANNEL BTW SAC R & SNODGRAS","DLC","10","38.244999","-121.504997","SACRAMENTO","SACRAMENTO R"
"DEMOCRAT","DEM","2356","35.532001","-118.129997","KERN","KERN R"
"DES REAL TIME MONITORING TEST STATION","RTM","13","38.587002","-121.567001","YOLO","SACRAMENTO R"
"DESCANSO","DSC","3480","32.856998","-116.622002","SAN DIEGO","SAN DIEGO R"
"DEVIL CANYON 2ND AFTERBAY (KA041275)","DC2","2000","34.230499","-117.340500","SAN BERNARDINO","SANTA ANA R"
"DEVILS GARDEN","DVG","5022","41.521999","-120.667999","MODOC","PIT R"
"DEVILS POSTPILE","DPO","7569","37.629410","-119.084671","MADERA","SAN JOAQUIN R"
"DEVORE","DEV","2070","34.221111","-117.404442","SAN BERNARDINO","LYTLE CR"
"DIABLO CANYON","DBC","1850","37.328999","-121.302002","STANISLAUS","SAN JOAQUIN R"
"DIAMOND LN PRECIP NR GLENCOE","DLP","2140","38.343151","-120.618370","CALAVERAS","MOKELUMNE R"
"DIDDY WELLS","DDW","1300","40.700001","-122.099998","SHASTA","SACTO VLY NE"
"DINKEY","DKY","5668","37.066391","-119.039436","FRESNO","KINGS R"
"DINKEY CK SIPHON","DKS","1320","36.908100","-119.124199","FRESNO","KINGS R"
"DISCOVERY BAY AT DISCOVERY BAY BLVD","DBD","9","37.892799","-121.602501","CONTRA COSTA","SAN JOAQUIN R"
"DISCOVERY BAY AT INDIAN SLOUGH","DBI","6","37.917652","-121.586723","CONTRA COSTA","SAN JOAQUIN R"
"DISMAL SWAMP","DSS","7050","41.993000","-120.165001","MODOC","SURPRISE VALLEY"
"DMC HEADWORKS","DMC","200","37.781567","-121.590240","ALAMEDA","DELTA"
"DOLLY CREEK","DOL","6622","39.148811","-120.368721","PLACER","AMERICAN R"
"DON PEDRO RESERVOIR","DNP","830","37.702000","-120.420998","TUOLUMNE","TUOLUMNE R"
"DON PEDRO RESERVOIR WEATHER","DPW","830","37.700279","-120.417709","TUOLUMNE","TUOLUMNE R"
"DONNER CREEK AT DONNER LAKE","DNC","5924","39.323517","-120.234367","NEVADA","TRUCKEE R"
"DONNER CREEK AT HWY 89","DCK","5870","39.321018","-120.207977","NEVADA","TRUCKEE R"
"DONNER LAKE","DNN","5945","39.322777","-120.264397","NEVADA","TRUCKEE R"
"DOOLEY CK AT OLD TOLL RD NR HOPLAND","DOT","570","38.976101","-123.070297","MENDOCINO","RUBICON R"
"DOUGHTY CUT ABOVE GRANT LINE CANAL","DGL","18","37.814999","-121.425003","SAN JOAQUIN","SAN JOAQUIN R"
"DOWNIEVILLE","DLA","2956","39.563400","-120.824203","SIERRA","YUBA R"
"DOWNIEVILLE","DNV","2920","39.558601","-120.829201","SIERRA","YUBA R"
"DOYLE (BLM)","DYE","4240","40.021999","-120.106003","LASSEN","SUSAN R"
"DOYLE CROSSING","DOY","5670","40.119202","-120.483002","PLUMAS","FEATHER R"
"DR FINE BRIDGE 2","DR2","34","41.880173","-124.148285","DEL NORTE","SMITH R"
"DRAINAGE AT ARBOR ROAD","DAR","20","37.768959","-121.419411","SAN JOAQUIN","SAN JOAQUIN R"
"DRUM POWER HOUSE","DPH","3400","39.264000","-120.766998","PLACER","BEAR R"
"DRY CK AT FIELDS RD","DFR","321","37.578892","-120.389442","MERCED","MERCED R"
"DRY CK BLW WARM SPRINGS DAM","WRM","188","38.719700","-122.999397","SONOMA","RUSSIAN R"
"DRY CK NR GEYSERVILLE","DGY","156","38.698601","-122.956902","SONOMA","RUSSIAN R"
"DRY CREEK AT VERNON STREET BRIDGE","VRS","140","38.734001","-121.301003","SACRAMENTO","AMERICAN R"
"DRY CREEK NEAR COULTERVILLE","DCC","728","37.653999","-120.311996","MARIPOSA","MERCED R"
"DRY CREEK NEAR HEALDSBURG","DRY","90","38.587410","-122.862213","SONOMA","RUSSIAN R"
"DRY CREEK NEAR LEMONCOVE","LCV","589","36.450401","-119.028397","TULARE","KAWEAH R"
"DRY CREEK NEAR MODESTO","DCM","88","37.657001","-120.921997","STANISLAUS","TUOLUMNE R"
"DRY CREEK NEAR WHEATLAND","DCW","63","39.023602","-121.436096","YUBA","BEAR R"
"DRY CREEK NR SNELLING","DSN","230","37.555000","-120.462997","MERCED","MERCED R"
"DUBLIN-SAN RAMON FIRE HOUSE","DBF","355","37.731998","-121.927002","CONTRA COSTA","EAST BAY"
"DUCK CK DIVERSION","DCD","113","37.938301","-120.989998","SAN JOAQUIN","SAN JACINTO R"
"DUCK CK DIVERSION NR FARMINGTON","DVF","146","37.945000","-120.930000","SAN JOAQUIN","SAN JOAQUIN R"
"DUDLEY RANCH BELOW COULTERVILLE","DUC","3654","37.741001","-120.133003","MARIPOSA","MERCED R"
"DUDLEYS (MCDIARMID FIRE STATION)","DDL","3000","37.720909","-120.096138","MARIPOSA","MERCED R"
"DUNCAN","DUN","7100","39.144001","-120.509003","PLACER","AMERICAN R"
"DUNCAN PEAK","DPK","6929","39.154598","-120.510101","PLACER","AMERICAN R"
"DUTCH SLOUGH AT JERSEY ISLAND","DSJ","10","38.013000","-121.670998","CONTRA COSTA","SAN JOAQUIN R"
"DWINNELL RESERVOIR NEAR EDGEWOOD","DRE","2805","41.540894","-122.374550","SISKIYOU","SHASTA R"
"DYER RESERVOIR","DYR","805","37.757824","-121.674911","CONTRA COSTA","DELTA"
"E FK CARSON R NR MARKLEEVILLE","CEM","5400","38.714699","-119.764702","ALPINE","CARSON R"
"EAGLE CREEK","EGL","6700","35.983002","-118.640999","TULARE","TULE R"
"EARL LAKE NR FORT DICK","EFD","10","41.842800","-124.188599","DEL NORTE","SMITH R"
"EAST CONTRA COUNTY ID PP#1","ECD","22","37.917862","-121.625999","CONTRA COSTA","DELTA"
"EAST FK CARSON RIVER NR GARDNERVILLE","EFC","4985","38.847000","-119.703003","State of Nevada","CARSON R"
"EAST FK OF WEST FK MOJAVE R UPR MILLER","EFM","3590","34.270302","-117.291901","SAN BERNARDINO","MOJAVE R"
"EAST FORK CARSON R NEAR GARDNERVILLE","GDV","4985","38.847000","-119.703003","State of Nevada","CARSON R"
"EAST PARK RESERVOIR","EPK","1205","39.367001","-122.516998","COLUSA","STONY CR"
"EAST WALKER RIVER NR BRIDGEPORT","EWR","6400","38.327999","-119.213997","MONO","WALKER R"
"EASTMAN LAKE WEATHER","ELW","540","37.213299","-119.970001","MADERA","CHOWCHILLA R"
"EASTSIDE BYPASS BLW MARIPOSA BYPASS","EBM","115","37.205002","-120.698097","MERCED","SAN JOAQUIN R"
"EASTSIDE BYPASS NEAR EL NIDO","ELN","100","37.147499","-120.605301","MERCED","SAN JOAQUIN R"
"EASTSIDE WELL MW-3","EW3","164","37.477501","-120.703056","MERCED","MERCED R"
"EBBETTS PASS","EBB","8700","38.561001","-119.807999","ALPINE","CARSON R"
"ECHO LAKE","ECO","7420","38.831001","-120.037003","EL DORADO","TRUCKEE R"
"ECHO PEAK 5","EP5","7800","38.848999","-120.079002","EL DORADO","LAKE TAHOE"
"EEL RIVER (USFS)","EEL","1500","39.833000","-123.083000","MENDOCINO","EEL R"
"EEL RIVER AT FERNBRIDGE","FER","20","40.617001","-124.199997","HUMBOLDT","EEL R"
"EEL RIVER AT FORT SEWARD","FSW","320","40.218201","-123.632530","HUMBOLDT","EEL R"
"EEL RIVER AT SCOTIA","SCO","160","40.491524","-124.099770","HUMBOLDT","EEL R"
"EEL RIVER BELOW VAN ARSDALE DAM 24HR AVG","EVA","1400","39.388599","-123.114998","MENDOCINO","EEL R"
"EEL RIVER CAMP","ERC","470","40.138000","-123.823997","HUMBOLDT","EEL R"
"EEL RIVER SF NR MIRANDA (AT SYLVANDALE)","MRD","218","40.181808","-123.776146","HUMBOLDT","EEL R"
"EF RUSSIAN R BLW COYOTE DAM","CDM","614","39.197498","-123.186401","MENDOCINO","RUSSIAN R"
"EL CAPITAN DAM","ELC","600","32.882000","-116.807999","SAN DIEGO","SAN DIEGO R"
"EL CAPITAN RESERVOIR","ECR","800","32.882000","-116.806999","SAN DIEGO","SAN DIEGO R"
"EL CARISO","ECA","3038","33.650002","-117.410004","RIVERSIDE","SAN JACINTO R"
"EL PORTAL","EPW","2073","37.675331","-119.787918","MARIPOSA","MERCED R"
"EL PORTAL WATER TREATMENT","X04","1700","37.668316","-119.812515","MARIPOSA","MERCED R"
"EL RIO (RIO MESA HIGH SCHOOL)","ELH","0","34.252300","-119.142998","VENTURA","VENTURA R"
"EL SOBRANTE","ESB","325","37.981030","-122.304291","CONTRA COSTA","DELTA"
"ELDER CREEK NEAR PASKENTA","ECP","718","40.023766","-122.511948","TEHAMA","SACRAMENTO R"
"ELEANOR CK NR HETCH HETCHY","ECK","4500","37.969090","-119.882126","TUOLUMNE","TUOLUMNE R"
"ELIZABETH CANYON CK","ECC","1680","34.576000","-118.556000","LOS ANGELES","SANTA CLARA R"
"ELK GROVE FISH HATCHERY","ELG","45","38.421001","-121.374001","SACRAMENTO","COSUMNES R"
"ELK VALLEY","ELK","1705","41.988041","-123.718338","DEL NORTE","SMITH R"
"ELLERY LAKE","ERY","9645","37.934967","-119.232201","MONO","MONO LAKE"
"EMMATON (USBR)","EMM","0","38.084270","-121.738922","SACRAMENTO","DELTA"
"ENGLEBRIGHT (USACE)","ENG","551","39.238998","-121.266998","NEVADA","YUBA R"
"ENGLEBRIGHT (YCWA)","ENB","551","39.238998","-121.266998","NEVADA","YUBA R"
"ENGLEBRIGHT WEATHER","ENW","850","39.237202","-121.265297","NEVADA","YUBA R"
"ESPERANZA (BANNER ROAD)","ESP","2512","38.284416","-120.489754","CALAVERAS","CALAVERAS R"
"ESTRELLA RIVER NEAR ESTRELLA","EST","672","35.717220","-120.639168","SAN LUIS OBISPO","SALINAS R"
"EUREKA CANYON (CORRALITOS 6NW)","EKN","1700","37.035999","-121.803001","SANTA CRUZ","PAJARO R"
"FALLBROOK WEATHER STATION","FBK","879","33.382000","-117.286003","SAN DIEGO","SANTA MARGARITA R"
"FALLEN LEAF LAKE","FLL","6250","38.931999","-120.056000","EL DORADO","LAKE TAHOE"
"FALLS CK NR HETCH HETCHY","FHH","5350","37.970798","-119.763298","TUOLUMNE","TUOLUMNE R"
"FALSE RIVER NEAR OAKLEY","FAL","0","38.055801","-121.666901","CONTRA COSTA","DELTA"
"FANCHER CREEK","FCH","920","36.883900","-119.465797","FRESNO","KINGS R"
"FAREWELL GAP","FRW","9500","36.415211","-118.578979","TULARE","KAWEAH R"
"FARMINGTON (SPILL ELEV 156.5 FT)","FRM","180","37.915001","-120.934998","SAN JOAQUIN","LITTLEJOHN CR"
"FARRAR PARK","FRP","0","38.011700","-121.639130","SAN JOAQUIN","DELTA"
"FEATHER DIVERSION FROM L TRUCKEE R","FTT","9999","39.492668","-120.305916","SIERRA","FEATHER R"
"FEATHER R AT BOYD'S LNDNG ABV STAR BEND","FSB","50","39.045498","-121.610435","SUTTER","FEATHER R"
"FEATHER R OWA SO BOUNDARY NR GRIDLEY","FOW","100","39.402500","-121.619400","BUTTE","FEATHER R"
"FEATHER RIVER AT LIVE OAK","FLO","65","39.248001","-121.636002","SUTTER","FEATHER R"
"FEATHER RIVER AT MERRIMAC","MER","1560","39.709000","-121.269997","BUTTE","FEATHER R"
"FEATHER RIVER AT MILE 61.6","FRA","125","39.467999","-121.597000","BUTTE","FEATHER R"
"FEATHER RIVER AT OROVILLE","FTO","149","39.521999","-121.546997","BUTTE","FEATHER R"
"FEATHER RIVER AT YUBA CITY","YUB","80","39.138565","-121.606285","SUTTER","FEATHER R"
"FEATHER RIVER BELOW THERMALITO AFTERBAY","FTA","125","39.452923","-121.639542","BUTTE","FEATHER R"
"FEATHER RIVER COLLEGE","FCL","3425","39.945873","-120.969704","PLUMAS","FEATHER R"
"FEATHER RIVER NEAR GRIDLEY","GRL","92","39.366577","-121.647369","BUTTE","FEATHER R"
"FEATHER RIVER NEAR NICOLAUS","NIC","43","38.889835","-121.604759","SUTTER","FEATHER R"
"FENCE MEADOW","FEN","5048","36.960999","-119.175003","FRESNO","KINGS R"
"FIDDLETOWN","FDL","2160","38.533001","-120.699997","AMADOR","COSUMNES R"
"FIGUEROA","FIG","3200","34.734001","-120.007004","SANTA BARBARA","SANTA YNEZ R"
"FIGUEROA MOUNTAIN","FGR","3200","34.751400","-120.007202","SANTA BARBARA","SANTA YNEZ R"
"FISH CANYON CK","FCK","1647","34.603062","-118.660828","LOS ANGELES","SANTA CLARA R"
"FISH CREEK MOUNTAINS","FIS","760","32.983002","-116.057999","IMPERIAL","WEST SALTON SEA"
"FISHERMANS CUT","FCT","4","38.067822","-121.648834","SAN JOAQUIN","SAN JOAQUIN R"
"FIVE CENT","FVC","2550","40.759701","-122.930801","TRINITY","TRINITY R"
"FIVE MILE","FML","4150","35.872002","-117.917999","INYO","KINGS R"
"FLINN SPRINGS","FLS","880","32.846001","-116.863998","SAN DIEGO","SAN DIEGO R"
"FLOOD CONTROL HQ - CONTRA COSTA CO","FCD","160","37.987999","-122.084999","CONTRA COSTA","SAN JOAQUIN R"
"FLOWER MOUNTAIN","FLW","1480","37.919998","-120.680298","TUOLUMNE","STANISLAUS R"
"FOLSOM DAM - FOLSOM POINT (DYKE 8)","FLD","350","38.693054","-121.129723","SACRAMENTO","AMERICAN R"
"FOLSOM LAKE","FOL","466","38.682999","-121.182999","SACRAMENTO","AMERICAN R"
"FOOTHILL DITCH","FTH","493","36.413300","-119.013100","TULARE","KAWEAH R"
"FORBESTOWN","FBS","2840","39.516998","-121.266098","BUTTE","FEATHER R"
"FORBESTOWN DITCH (OROV-WYAN CANAL)","FBD","3166","39.552170","-121.193642","BUTTE","FEATHER R"
"FORESTDALE CREEK","FDC","8017","38.682400","-119.959702","ALPINE","CARSON R"
"FORNI RIDGE","FRN","7600","38.803970","-120.215919","EL DORADO","AMERICAN R"
"FOUNTAIN SPRINGS","FTS","210","35.891102","-118.915604","TULARE","KERN R"
"FOUR TREES","FOR","5202","39.812778","-121.321678","PLUMAS","FEATHER R"
"FRANK'S TRACT MID TRACT","FRK","0","38.046417","-121.598099","CONTRA COSTA","DELTA"
"FREMONT CANYON","FMC","1750","33.811100","-117.708000","ORANGE","SANTA ANA R"
"FREMONT WEIR FISH PASSAGE DOWNSTREAM","FW2","20","38.764141","-121.646896","YOLO","SACRAMENTO R"
"FREMONT WEIR FISH PASSAGE UPSTREAM","FW1","20","38.764370","-121.646912","YOLO","SACRAMENTO R"
"FRENCH CREEK AT HWY 3 NEAR CALLAHAN","FCC","2840","41.411747","-122.858826","SISKIYOU","SCOTT R"
"FRENCH MEADOWS","FMD","5263","39.112000","-120.468002","PLACER","AMERICAN R"
"FRENCHMAN DAM","FRD","5517","39.882999","-120.182999","PLUMAS","FEATHER R"
"FRENCHMAN DAM TAILRACE","FDT","5478","39.893299","-120.189301","PLUMAS","FEATHER R"
"FRESH POND","FPD","3770","38.759819","-120.536629","EL DORADO","AMERICAN R"
"FRESNO R ABV HENLEY LAKE","FHL","540","37.150600","-119.856102","MADERA","FRESNO R"
"FRESNO R BLW HIDDEN DAM","HIQ","385","37.104401","-119.886902","MADERA","FRESNO R"
"FRESNO R LEWIS FORK NR OAKHURST","FRU","2295","37.345001","-119.639198","MADERA","FRESNO R"
"FRIANT DAM","FRT","578","36.994499","-119.697777","FRESNO","SAN JOAQUIN R"
"FRIANT DAM (MILLERTON)","MIL","581","37.000999","-119.705002","FRESNO","SAN JOAQUIN R"
